49399	sp1	235.45	26.98	11.77	5379624
49480	sp1	234.24	27.85	11.84	5271832
49565	sp1	237.24	20.15	11.75	5347904
49569	sp1	235.38	18.22	11.84	5292576
49674	sp1	235.38	17.20	12.27	5333440
49815	sp1	232.18	20.87	11.99	5335932
49855	sp1	233.35	23.75	11.81	5339676
50017	sp1	235.67	20.03	11.87	5320060
50586	sp1	233.68	18.67	11.73	5313728
50718	sp1	231.37	21.75	12.13	5341504
50845	sp1	234.86	18.57	12.28	5414200
50852	sp1	237.04	19.58	11.95	5299872
50871	sp1	233.11	24.67	11.89	5311168
50902	sp1	235.81	20.89	12.51	5297104
50971	sp1	234.79	17.74	12.13	5373304
50995	sp1	234.03	26.20	11.83	5396700
51340	sp1	232.95	25.67	11.78	5299452
51594	sp1	289.35	21.95	13.84	6386324
51917	sp1	292.71	20.57	13.34	6443796
