57180	ceno	187.25	16.51	12.09	1775256
57200	ceno	185.26	13.95	11.39	1804020
57285	ceno	185.43	15.58	12.01	1798092
57310	ceno	187.57	16.19	12.46	1797560
57402	ceno	192.89	16.43	12.09	1787392
57427	ceno	190.23	17.65	11.49	1791188
57601	ceno	186.39	15.74	12.14	1789712
57609	ceno	191.76	16.19	12.25	1807164
57653	ceno	184.23	16.94	12.1	1811248
57742	ceno	188.34	15.80	12	1779576
58067	ceno	191.68	15.07	11.63	1804760
58200	ceno	187.35	15.40	12.12	1797080
58443	ceno	183.07	15.94	11.54	1792080
58463	ceno	195.12	14.09	11.61	1789332
58631	ceno	185.63	15.71	12.34	1809528
58998	ceno	186.49	16.17	11.7	1784112
59064	ceno	185.93	17.71	11.98	1806616
59249	ceno	187.26	17.12	12.14	1795156
59573	ceno	191.34	15.19	11.58	1777564
59848	ceno	187.33	16.64	12.14	1795888
60909	ceno	187.72	14.53	11.97	1809144
60945	ceno	185.30	14.39	11.68	1779896
60966	ceno	188.80	14.25	12.2	1793176
61020	ceno	194.44	14.29	11.46	1771304
61287	ceno	194.38	17.34	12.22	1800672
61496	ceno	189.59	15.43	11.98	1777780
61524	ceno	186.40	15.32	11.51	1790096
61630	ceno	190.58	17.21	11.61	1767044
62242	ceno	191.36	17.84	11.53	1798440
62252	ceno	184.87	14.06	11.77	1779344
62308	ceno	192.17	14.74	11.44	1805732
62321	ceno	187.46	16.45	12.6	1799132
62425	ceno	184.16	16.16	11.49	1808236
62450	ceno	184.32	15.39	12.05	1793508
62457	ceno	191.88	16.06	11.45	1806516
62568	ceno	191.42	15.79	11.57	1780648
62711	ceno	185.81	16.87	11.98	1788464
63019	ceno	194.53	16.34	11.69	1795296
63154	ceno	189.17	15.21	12.16	1780876
63207	ceno	183.76	17.06	11.37	1764372
63583	ceno	193.94	13.95	11.51	1797072
63624	ceno	194.55	13.90	11.55	1800156
63736	ceno	191.95	16.54	12.15	1783392
63855	ceno	193.63	15.11	11.5	1807144
63865	ceno	190.07	15.54	12.68	1777504
64076	ceno	184.39	15.10	11.93	1798276
64389	ceno	182.54	14.34	11.96	1784912
64679	ceno	188.43	14.00	11.47	1772160
64789	ceno	189.24	16.33	12.11	1782148
331980	ceno	391.42	33.17	16.51	7294648
342333	ceno	386.53	30.77	17.17	7217432
704853	ceno	586.57	43.83	21.93	13352852
871472	ceno	594.73	44.59	22.17	13315236
887880	ceno	590.40	46.75	22.55	13436824
