3990	ceno	436.25	37.07	16.57
3995	ceno	419.46	38.34	17.05
4080	ceno	429.87	37.01	17.19
4122	ceno	425.87	39.48	17.01
4167	ceno	440.24	38.07	16.78
4168	ceno	441.56	36.28	16.5
4193	ceno	422.21	36.38	16.54
4219	ceno	442.02	39.00	16.87
4242	ceno	425.99	36.65	16.97
4248	ceno	428.25	40.62	16.87
4264	ceno	438.36	34.00	16.7
4291	ceno	424.95	38.74	16.52
4313	ceno	426.22	38.28	17.3
4357	ceno	421.94	38.09	17.1
4359	ceno	424.47	35.23	16.97
4410	ceno	442.81	35.66	17.23
4441	ceno	445.73	35.65	17.42
4455	ceno	426.60	38.57	17.01
4490	ceno	428.49	39.23	17.09
4530	ceno	467.37	37.83	17.17
4532	ceno	463.33	40.85	17.07
4542	ceno	455.86	36.24	17.96
4568	ceno	464.58	35.32	17.12
4596	ceno	467.11	41.51	18.1
4597	ceno	456.63	38.10	18.54
4611	ceno	450.47	39.30	18.51
4619	ceno	449.98	38.90	17.04
4633	ceno	465.40	36.57	17.09
4732	ceno	442.18	38.11	16.9
4802	ceno	444.31	38.82	16.98
4810	ceno	458.41	40.29	17.29
4831	ceno	495.52	47.86	18.35
4840	ceno	460.46	37.93	17.02
4843	ceno	449.20	35.46	17.6
4901	ceno	447.23	37.12	34.11
4931	ceno	449.30	40.92	17.28
4972	ceno	466.83	40.32	42.36
5004	ceno	466.15	42.15	18.25
5019	ceno	467.84	36.80	17.77
5026	ceno	483.90	45.23	18.4
5132	ceno	493.01	39.89	18.65
5136	ceno	473.33	41.28	17.67
5170	ceno	490.45	39.85	18.03
5171	ceno	484.27	41.60	18.51
5181	ceno	485.12	41.97	18.02
5199	ceno	479.21	42.46	18.4
5211	ceno	501.44	36.20	18.17
5221	ceno	497.04	40.28	18.63
5231	ceno	481.25	38.40	18.22
5260	ceno	495.46	43.48	18.55
5272	ceno	488.57	41.31	18.82
5344	ceno	510.48	41.56	19.12
5362	ceno	510.75	45.95	18.54
5434	ceno	517.46	41.81	19.28
5439	ceno	521.02	38.73	18.51
5525	ceno	534.79	41.06	18.92
5555	ceno	541.57	41.23	19.52
5565	ceno	521.65	37.43	19.21
5567	ceno	533.46	40.13	18.57
5572	ceno	526.78	45.97	18.65
5598	ceno	534.28	41.21	18.67
5599	ceno	514.83	44.31	18.49
5617	ceno	517.26	41.79	18.64
5649	ceno	527.52	43.25	19.59
5730	ceno	521.67	42.56	19.1
5749	ceno	539.77	40.01	19.5
5777	ceno	539.38	39.46	18.68
5833	ceno	525.42	40.80	18.7
5846	ceno	526.43	42.55	19.26
