30	sp1	171.82	18.25	9.98	4400120
47	sp1	171.37	16.06	10.02	4414624
115	sp1	168.55	15.46	9.74	4409436
117	sp1	170.91	17.59	10.03	4438936
126	sp1	174.47	13.95	9.7	4415916
170	sp1	172.83	19.62	10	4472608
197	sp1	190.82	19.46	10.68	4722508
206	sp1	188.42	19.04	10.8	4740144
237	sp1	188.59	21.46	10.93	4691136
241	sp1	195.35	21.86	10.83	4725612
264	sp1	195.31	18.08	10.43	4757968
278	sp1	190.98	24.62	10.44	4714264
280	sp1	189.17	19.12	10.55	4691680
286	sp1	190.82	21.89	10.77	4738580
341	sp1	196.52	20.86	10.53	4710472
356	sp1	191.40	24.53	11.07	4700204
374	sp1	198.22	19.27	10.42	4747848
388	sp1	193.98	19.57	10.65	4750740
406	sp1	197.25	22.68	10.54	4718564
462	sp1	225.22	18.47	11.62	5141096
476	sp1	223.34	18.39	11.71	5203216
560	sp1	224.33	21.18	11.4	5173076
595	sp1	223.74	18.63	11.87	5153616
627	sp1	226.94	21.46	11.36	5235348
645	sp1	231.58	16.59	11.97	5206168
650	sp1	230.35	19.56	12.1	5176344
729	sp1	231.91	18.46	11.88	5293000
731	sp1	238.76	18.90	11.64	5390712
752	sp1	236.70	19.09	12.32	5384204
772	sp1	231.35	21.02	12.65	5352008
776	sp1	236.73	19.45	12.21	5310560
779	sp1	234.85	19.79	12.19	5334868
840	sp1	234.84	23.73	11.81	5341456
852	sp1	238.69	21.82	11.87	5497892
859	sp1	233.87	20.30	12.18	5437372
887	sp1	236.19	26.49	11.97	5275440
900	sp1	234.95	19.79	11.68	5388068
929	sp1	235.33	22.95	12.02	5400568
950	sp1	291.89	23.89	14.36	6425812
960	sp1	282.96	20.46	13.32	6452500
1087	sp1	286.10	23.96	13.45	6405788
1158	sp1	289.22	26.72	13.89	6479396
1219	sp1	290.43	24.29	14.06	6120068
1292	sp1	294.92	22.85	13.61	6446280
1343	sp1	295.21	26.31	13.83	6539676
1381	sp1	310.94	27.75	14.42	6650344
1388	sp1	308.22	22.00	14.87	6671904
1470	sp1	305.20	25.61	14.8	6771864
1501	sp1	305.92	27.81	15.05	6644128
1531	sp1	308.72	30.53	14.85	6693904
1540	sp1	312.54	21.39	14.83	6654116
1553	sp1	308.93	23.04	14.42	6759940
1574	sp1	309.75	27.28	14.6	6829452
1590	sp1	309.80	21.96	14.66	6747196
1593	sp1	302.70	27.55	14.79	6737404
1595	sp1	309.06	29.45	14.58	6947064
1602	sp1	306.24	21.65	14.79	6684700
1613	sp1	312.00	26.25	14.91	6761128
1621	sp1	309.80	21.38	14.73	6600832
1644	sp1	308.37	28.27	14.79	6714880
1806	sp1	427.17	28.36	19.93	8716644
1827	sp1	308.39	20.94	15.12	6713152
1838	sp1	304.03	27.58	14.63	6741048
1875	sp1	431.18	27.64	19.26	8791560
1899	sp1	424.90	30.74	19.77	9041556
1927	sp1	430.33	26.19	20.18	8630944
1936	sp1	430.00	28.82	20.07	8974788
1969	sp1	423.88	29.69	19.98	8607896
1972	sp1	429.14	28.15	19.7	8250116
1996	sp1	430.31	24.65	19.58	9002260
2022	sp1	427.27	26.47	19.36	8732436
2026	sp1	425.52	28.53	19.85	8894300
2038	sp1	431.61	25.84	20.06	8768452
